NAME,DRIVE_DISTANCE,FWY_%,SG_P,SG_OTT,SG_APR,SG_ARG,GIR_Fairway_%,GIR_NotFairway_%,Sand_Save_Pct,avoid_three_putt
Patrick Cantlay,307.3,58.52,0.425,0.645,0.747,0.369,78.87,56.62,55.42,2.03
Rory McIlroy,315.3,60.09,0.318,1.241,0.843,0.308,79.2,55.16,52.5,2.0
Dustin Johnson,312.1,55.36,0.39,0.825,0.697,0.207,80.1,59.29,63.93,1.89
Webb Simpson,287.2,68.07,0.463,0.059,0.63,0.362,75.39,51.24,61.62,2.16
Matt Kuchar,290.8,69.92,0.39,0.272,0.783,0.144,80.95,53.82,61.64,2.87
Brooks Koepka,309.1,61.97,0.015,0.457,0.734,0.079,80.25,59.52,59.32,3.5
Adam Scott,299.6,61.4,0.454,0.43,0.786,0.486,79.95,53.88,56.16,3.75
Justin Rose,305.2,58.16,0.778,0.294,0.542,0.104,77.19,47.97,61.63,1.72
Justin Thomas,301.8,61.75,-0.327,0.506,0.952,0.371,83.41,57.5,51.25,3.53
Jim Furyk,275.6,74.83,0.288,-0.014,0.778,0.171,78.56,47.8,50.68,2.56
Xander Schauffele,304.6,60.91,0.41,0.602,0.426,0.162,79.38,55.84,53.85,2.68
Hideki Matsuyama,304.9,62.08,-0.046,0.436,1.005,0.326,77.83,59.83,52.94,3.68
Jon Rahm,306.7,61.76,0.234,0.769,0.276,0.141,77.59,51.75,50.59,2.31
Paul Casey,297.9,69.83,-0.141,0.717,0.696,0.2,77.28,59.05,40.82,2.93
Rickie Fowler,304.4,60.83,0.473,0.281,0.335,0.17,77.46,54.71,53.78,1.88
Jason Day,303.1,63.1,0.378,0.648,0.172,0.069,82.83,52.79,52.38,2.56
Tommy Fleetwood,298.7,63.41,0.289,0.512,0.355,0.277,76.67,52.0,63.89,3.16
Gary Woodland,309.7,64.9,-0.038,0.613,0.676,0.098,82.36,52.92,48.04,3.11
Lucas Glover,294.3,65.4,0.293,0.296,0.391,0.247,76.04,55.66,55.21,2.95
Bryson DeChambeau,302.1,67.5,0.449,0.468,0.411,-0.036,75.24,49.39,48.24,3.4
Sergio Garcia,303.7,58.26,-0.129,0.403,0.911,-0.067,76.0,52.28,44.62,1.96
Tony Finau,311.9,55.53,0.001,0.359,0.284,0.002,77.26,56.28,44.96,1.91
Henrik Stenson,284.8,73.12,0.015,-0.263,1.245,0.05,74.47,47.13,45.45,2.65
Chez Reavie,287.0,75.44,0.176,0.222,0.603,0.056,74.49,50.83,50.45,2.54
Scott Piercy,292.0,67.76,0.143,0.303,0.229,0.093,78.55,54.93,50.43,2.93
Sungjae Im,294.5,65.8,0.2,0.39,0.142,0.294,74.69,59.17,46.45,3.13
Graeme McDowell,287.1,64.43,0.789,-0.288,0.043,0.091,76.97,50.0,54.62,2.37
Marc Leishman,296.6,60.03,0.253,0.011,0.556,0.157,79.49,50.48,55.77,3.77
Ryan Palmer,297.4,59.7,0.197,0.288,0.468,-0.27,78.57,60.07,42.39,3.31
Adam Hadwin,291.3,67.33,0.237,0.411,0.061,-0.254,76.84,52.26,53.54,3.43
Talor Gooch,296.9,59.14,0.256,-0.181,0.685,-0.114,80.91,59.92,58.57,3.58
Russell Knox,288.9,66.05,-0.126,0.04,0.594,0.196,77.72,53.24,61.8,3.14
Nate Lashley,288.0,65.75,0.41,-0.218,0.671,-0.008,80.13,54.62,51.52,2.35
Charles Howell III,301.6,63.35,0.214,0.303,0.03,0.41,82.77,52.93,47.41,2.59
Louis Oosthuizen,295.9,68.95,0.159,0.163,-0.144,0.481,76.3,49.47,59.09,2.4
Wyndham Clark,312.3,54.9,0.711,0.094,-0.524,0.216,76.43,56.73,55.86,1.41
Peter Malnati,290.9,54.14,0.476,-0.333,0.375,0.12,74.22,53.04,49.57,1.77
Rory Sabbatini,289.8,65.8,0.145,0.31,0.007,0.299,73.51,55.31,54.33,2.67
Daniel Berger,299.1,65.39,-0.02,0.353,-0.03,-0.117,70.43,56.58,54.7,2.11
Patrick Reed,295.5,59.98,0.146,0.023,0.167,0.403,77.7,54.87,55.65,2.43
Keegan Bradley,299.3,65.93,-0.428,0.181,0.84,-0.088,79.49,51.38,46.88,3.68
Jordan Spieth,294.5,53.99,0.713,-0.406,-0.148,0.258,75.06,52.59,50.5,2.87
Ian Poulter,292.7,65.48,0.314,0.14,0.009,0.115,77.83,52.34,58.33,2.78
Vaughn Taylor,281.2,67.85,0.749,-0.277,0.186,-0.037,75.46,47.62,54.48,2.0
Emiliano Grillo,296.0,67.55,-0.541,0.432,0.904,-0.271,76.28,52.52,48.67,4.05
Denny McCarthy,290.0,65.59,0.907,0.125,-0.401,0.03,77.34,47.43,46.23,2.17
Rafa Cabrera Bello,288.8,65.3,0.125,0.207,0.18,0.072,74.38,48.21,51.11,3.64
Abraham Ancer,293.1,69.54,0.019,0.548,-0.005,-0.055,74.61,55.05,45.69,3.09
Kevin Kisner,286.6,69.86,0.354,0.246,0.125,-0.174,74.61,52.35,45.08,2.1
Michael Thompson,286.2,69.8,0.428,0.067,-0.06,0.113,71.72,47.86,56.15,2.73
Byeong Hun An,307.9,58.2,-0.668,0.351,0.382,0.634,79.88,52.94,55.08,2.91
Bud Cauley,293.0,62.3,-0.134,-0.193,0.211,0.664,77.51,49.47,59.35,2.66
Jason Kokrak,305.2,62.6,-0.094,0.526,0.833,-0.318,78.56,52.33,47.96,3.57
Harold Varner III,302.3,58.59,-0.125,0.307,-0.022,0.075,78.11,53.81,56.84,2.69
Zach Johnson,286.2,65.43,-0.016,-0.003,0.297,0.172,71.95,43.08,54.26,2.57
Francesco Molinari,290.5,67.57,-0.083,0.251,0.141,0.178,73.0,53.65,65.57,2.38
Brandt Snedeker,286.1,62.77,0.697,-0.183,-0.086,0.574,75.0,49.63,59.57,2.24
Tyrrell Hatton,296.3,62.31,-0.029,0.181,0.136,0.392,76.75,51.24,54.65,1.81
